,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),,,,,,Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1973 [YR1973],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1686.0,,,,0.0,10782.0,,,,,200.0,240.0,,,,,,,,,,,,,,,,,,,,,,10782.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974 [YR1974],,,,,,,1210000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1932.0,,,,0.0,11491.0,,,,,200.0,240.0,,,,,,,,,,,,,,,,,,,,,,11491.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975 [YR1975],,,,,,,100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1897.0,,,,0.0,12244.0,,,,,200.0,240.0,,,,,,,,,,,,,,,,,,,,,,12244.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976 [YR1976],,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1933.0,,,,0.0,13025.0,,,,,200.0,240.0,,,,,,,,,,,,,,,,,,,,,,13025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977 [YR1977],,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2234.0,,,,0.0,13853.0,,,,,200.0,240.0,,,,,,,,,,,,,,,,,,,,,,13853.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978 [YR1978],,,,,,,2860000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2101.0,,,,0.0,14683.0,,,,,200.0,240.0,,,,,,,,,,,,,,,,,,,,,,14683.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979 [YR1979],,,,,,,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2113.0,,,,0.0,15480.0,,,,,200.0,240.0,,,,,,,,,,,,,,,,,,,,,,15480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980 [YR1980],,,,,,,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2109.0,,,,0.0,16212.0,,,,,200.0,240.0,,,,,,,,,,,,,,,,,,,,,,16212.0,,,,,,,,,,,,0.007595161843738896,42.68557289466121,,,,,,,19.08203035595756,12.118198150489057,0.272502712281041,,,,,,,,,,,,,,,,,,,,,
1981 [YR1981],,,,,,,39999.9999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2123.0,,,,0.0,16860.0,,,,,200.0,240.0,,,,,,,,,,,,,,,,,,,,,,16860.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982 [YR1982],,,,,,,80000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,17439.0,,,,,200.0,240.0,,,,,,,,,,,,,,,,,,,,,,17439.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983 [YR1983],,,,,,,150000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,18011.0,,,,,200.0,240.0,,,,,,,,,,,,,,,,,,,,,,18011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984 [YR1984],,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,18670.0,,,,,200.0,240.0,,,,,,,,,,,,,,,,,,,,,,18670.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985 [YR1985],,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,19467.0,,,,,200.0,240.0,,,,,,,,,,,,,,,,,,,,,,19467.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986 [YR1986],,,,,,,30000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,20430.0,,,,,200.0,240.0,,,,,,,,,,,,,,,,,,,,,,20430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987 [YR1987],,,,,,,30000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,21544.0,,,,,200.0,240.0,,,,,,,,,,,,,,,,,,,,,,21544.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988 [YR1988],,,,,,,30000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,22761.0,,,,,200.0,240.0,,,,,,,,,,,,,,,,,,,,,,22761.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989 [YR1989],,,,,,,520000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24039.0,,,,,200.0,240.0,,,,,,,,,,,,,,,,,,,,,,24039.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.5400009155273,,,,,
1990 [YR1990],,,,,,,70000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,25312.0,,99.9155502319336,,,200.0,240.0,160.9671021,64.61621094,,,,,,,,,,,,,,,,,,,,25312.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991 [YR1991],,,,,,,450000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,26544.0,,99.9308471679688,,,200.0,240.0,,,,,,,,,,,,,,,,,,,,,,26544.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.7099990844727,,,,,
1992 [YR1992],,,,,,,540000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,27780.0,,99.9463958740234,,,200.0,240.0,,,,,,,,,,,,,,,,,,,,,,27780.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993 [YR1993],,,,,,,580000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,29069.0,,100.0,,,200.0,240.0,,,,,,,,,,,,,,,,,,,,,,29069.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994 [YR1994],,,,,,,250000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,30514.0,,100.0,,,200.0,240.0,,,,,,,,,,,,,,,,,,,,,,30514.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995 [YR1995],,,,,,,230000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,32166.0,,100.0,,,200.0,240.0,,,,,,,,,,,,,,,,,,,,,,32166.0,,,,,,,,,,,,,,,,,,,,,,,,,,102.7027027,,,,,,,,,,,,,,,,,
1996 [YR1996],,,,,,,-10000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,34065.0,,100.0,,,200.0,240.0,,,,,,,,,0.0,,,,,,,,,,,,,34065.0,,,,,,,,,,,,,,,,,,,,,,,,,,140.5405405,,,,,,,,,,,,,,,,,
1997 [YR1997],,,,,,,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3799999.95231628,,,,,,,,,,,,,,,0.0,36156.0,,100.0,,,200.0,240.0,,,,,,,,,1.0,,,,,,,,,,,,,36156.0,,,,,,,,,,,,,,,,,,,,,,,,,,118.9189189,,,,,,,,,,,,,,,,,
1998 [YR1998],,,,,,,290000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159999.99642372102,,,,,,,,,12.0,,,,,,0.0,38329.0,,100.0,,,200.0,240.0,,,,,,,,,2.0,,,,,,,,,,,,,38329.0,,,,,,,,,,,,,,,,,,,,,,,,,,75.67567568,,,,,,,,,,,,,,,,,
1999 [YR1999],,,,,,,430000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3009999.99046326,,,,,,1.94986,70.2761383056641,,12.0,,3231.0,,,,0.0,40420.0,,100.0,,,200.0,240.0,,,,,,,,,1.0,,,,,,,,,,,,,40420.0,,,,,,,,,,,,,,,,,,,,,,,,,,97.2972973,,,,,,,,,,,,,,,,,
2000 [YR2000],,,,,,,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3599999.90463257,,,,,,2.44541,93.2469024658203,,12.0,,3435.0,,,,0.0,42303.0,,100.0,,,200.0,240.0,160.9671021,64.61621094,,,,,,,1.0,,,,,,,,,,,,,42303.0,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,
2001 [YR2001],,,,,,,-470000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-779999.971389771,,,,,,1.18343,,,12.0,,3549.0,,,,0.0,43935.0,,100.0,,,200.0,240.0,,,,,,,,,1.0,,,,,,,,,,,,,43935.0,,,,,,,,,,,,,,,,,,,,,,,,,,86.48648649,,,,,,,,,,,,,,,,,
2002 [YR2002],,,,,,,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1850000.02384186,,,,,,5.67198,,,12.0,,3579.0,,,,0.0,45351.0,,100.0,,,200.0,240.0,,,,,,,,,1.0,,,,,,,,,,,,,45351.0,,,,,,,,,,,,,,,,,,,,,,,,,,75.67567568,,,,,,,,,,,,,,,,,
2003 [YR2003],,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1429999.94754791,,,,,,,,,12.0,,,,,,0.0,46632.0,,100.0,,,200.0,240.0,,,,,,,,,1.0,,,,,,,,,,,,,46632.0,,,,,,,,,,,,,,,,,,,,,,,,,,86.48648649,,,,,,,,,,,,,,,,,
2004 [YR2004],,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389999.98569488496,,,,,,1.9637,77.8424682617188,,12.0,,3361.0,,,,0.0,47902.0,,100.0,,,200.0,240.0,,,,,,,,,1.0,,,,,,,,,,,,,47902.0,,,,,,,,,,,,,,,,,,,,,,,,,,129.7297297,,,,,,,,,,,,,,,,,
2005 [YR2005],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.42593,,,12.0,,3240.0,,,,0.0,49261.0,,100.0,,,200.0,240.0,,,,,,,,,1.0,,,,,,,,,,,,,49261.0,,,,,,,,,,,,,,,,,,,1172000000.0,,,,,,,320.5405405,,,,,,,,,,,,,,,,,
2006 [YR2006],,,,,,,,,,,,,,,,,,,3861222634.22572,,,,373355681.094499,30436633.5460845,3322080096.1322503,3500226234.1237,,,344022994.487005,2924381071.50983,,,,,,,4200439498.528381,,,,,,,,,71391.17703753224,71391.17703753224,,,,2.31147,,,12.0,,3461.0,,,,0.0,50740.0,,100.0,,,200.0,240.0,,,0.0,,,,,,1.0,1580000.0,,,,,,,,,,,,50740.0,,,,,,,,,,,,,,,,,,,1048000000.0,,,,,,,126.4864865,,,,,,,,,,,,51.7700004577637,,,,,
2007 [YR2007],,,,,,,,,,,,,,,,,3.162625338407537,,3983338639.62807,,,,365590900.370835,32022485.0015463,3497764571.63653,3721883471.2329597,,,359191607.467189,3142464484.72181,,,,,,,4466438823.032473,,,,,,,,,73399.69046482434,73399.69046482434,,,,5.18079,,,12.0,,3706.0,,,,0.0,52280.0,,100.0,,,200.0,240.0,,,0.0,,,,,,2.0,5800000.0,,3.072846620993701,,,,,,,,,,52280.0,,,,,,,,,,,,,,,,,,,1054000000.0,,,,,,,116.053827,,,,,,,,,,,,58.9199981689453,,,,,
2008 [YR2008],,,,,,,,,,,,,,,,,-0.3574013729259349,,3969102132.64175,,,,371113416.570716,35377380.7685374,3481142838.62601,3821608854.61363,,,347175254.239946,3248671229.52212,,,,,,,4586114070.099159,,,,,,,,,72405.00024879022,72405.00024879022,,,,5.51392,,,12.0,,3736.0,,,,0.0,53836.0,,100.0,,,200.0,240.0,,,0.0,,,,,,2.0,1400000.0,,3.0477272453345563,,,,,,,,,,53836.0,,,,,,,,,,,,,,,,,,,1130000000.0,,,,,,,175.7919351,,,,,,,,,,,,58.1100006103516,,,,,
2009 [YR2009],,,,,,,,,,,,,,,,,-7.200482782381329,,3683307616.96575,,,,302397126.712943,32506175.664410897,3213106186.505,3568081242.6449203,,,282005418.095944,3100671407.76058,,,,,,,4281868765.924541,,,,,,,,,65885.1404296915,65885.1404296915,,,,,,,12.0,,,,,,0.0,55322.0,,100.0,,,200.0,240.0,,,0.0,,,,,,2.0,1900000.0,99.7246195761255,0.6103785424088812,,,,,,,,,,55322.0,,,,,,,,,,,,,,,,,,,936000000.0,,,,,,,149.1073459,,,,,,,,,,,,,,,,,
2010 [YR2010],,,,,,,,,,,,,,,3979309285.1987925,,-2.715636823442651,,3583282358.99876,,,,258475824.72411,29584131.0242238,3145880056.2882104,3464020447.01081,3278430447.01081,,244743696.202962,3034827609.39828,,,,,,,4156990816.0456133,3934273907.3692665,,,,,,,,63298.17818038555,63298.17818038555,3395042987.213522,,,,,,12.0,,,,,,0.0,56672.0,,100.0,,,200.0,240.0,160.9671021,64.61621094,0.0,,,,,,2.0,1000000.0,100.0,-0.20640407474972733,,,,,,,,,,56672.0,,,,,,,,,,,,,,,,,,,872000000.0,,,,,,,131.3779459,,,,,,,,,,,,,,,,,
2011 [YR2011],,,,,,,,,,,,,,,4111945755.244749,,1.1690626952634204,,3625173176.32377,,,,253687762.566765,29370970.2493687,3179056579.08534,3488380346.57492,3370165346.57492,,237674663.17867398,3045822045.5279803,,,,,,,4186223864.8444977,4044360190.297516,,,,,,,,64013.63679421529,64013.63679421529,3579426050.6566505,,,2.63488,,,12.0,,3985.0,,,,0.0,57878.0,,100.0,,,200.0,240.0,,,0.0,,,,,,5.0,2540000.0,101.325435757797,-0.4604534991889011,,,,,,,,,,57878.0,,,,,,,,,,,,,,,,,,,962000000.0,,,,,,,198.4857622,,,,,,,,,,,,53.9199981689453,,,,,
